No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
13,2000,0.2517632453355554,47.492518336123666,0.0,0.4724781478856603
13,2500,0.2500119708787121,57.462890899246126,0.0,0.5721944473992129
13,3000,0.2575141098441146,64.4533122662788,0.0,0.6420970210342741
13,3500,0.2501689318990389,69.29470247617384,0.0,0.6904956070840578
13,4000,0.24540889016358805,72.91218386976797,0.0,0.7266651270835315
13,4500,0.2533546921790537,76.01244798129902,0.0,0.7576615770255125
13,5000,0.2494441348425907,78.4302846728695,0.0,0.7818442302682991
14,500,0.24727900575162381,0.2700017790921545,0.0,0.0
14,1000,0.25716847264833936,1.822415678592532,0.0,0.007115103194227179
14,1500,0.2531725279128167,31.547283327416924,0.0,0.3129119544855339
14,2000,0.2543501926455223,47.84163083080853,0.0,0.47596484726560434
14,2500,0.25014131702971293,57.96145034310894,0.0,0.5771842172687676
14,3000,0.25476210968578067,64.73623640256696,0.0,0.6449073991071589
14,3500,0.24980972927070463,69.98953560538912,0.0,0.697453201820014
14,4000,0.25453666099278216,73.40359390828466,0.0,0.7315708168464415
14,4500,0.25383377603364593,76.29533023872663,0.0,0.7604903347477605
14,5000,0.26127760182192156,78.68329111269104,0.0,0.7843709185894645
15,500,0.2543288883338653,0.29049689977315624,0.0,0.0
15,1000,0.2588316439193614,3.977409842034726,0.0,0.031503105590062114
15,1500,0.2664897807968505,32.91087995888098,0.0,0.32653554175293303
15,2000,0.25533593225845397,48.803501463009596,0.0,0.4855764159898745
15,2500,0.25522634405609385,58.545716759409125,0.0,0.5830128205128206
15,3000,0.25855765068757786,65.37894674172095,0.0,0.6513384645606015
15,3500,0.25361615687918176,70.29385979588926,0.0,0.7004925050247787
15,4000,0.2533074718431492,73.80374823319225,0.0,0.7355857808605181
15,4500,0.2554565332360383,76.64541215793736,0.0,0.7640025629556197
15,5000,0.2533627863722561,79.10860720380586,0.0,0.7886340005198856
16,500,0.2551909915829336,0.2941280358263771,0.0,0.0
16,1000,0.2509470091421156,4.744362522316881,0.0,0.03864467946468848
16,1500,0.25023655680036194,33.986120103427965,0.0,0.33729953440248317
16,2000,0.25220238390394806,49.219694435671244,0.0,0.48973303227520254
16,2500,0.2543539486989435,59.389870746693866,0.0,0.591457062062807
16,3000,0.2508992673247313,65.91905941053928,0.0,0.6567478745445453
